,titulo,comentarios,calificacion
0,100 Days of Code: The Complete Python Pro Bootcamp,290634,4.685825
1,The Complete Python Bootcamp From Zero to Hero in Python,502551,4.5921736
2,The Complete Python Developer,54996,4.614289
3,"Python Mega Course: Learn Python in 60 Days, Build 20 Apps",66063,4.6430144
4,Learn Python Programming - Beginner to Master,3562,4.60849
5,Python for Absolute Beginners,36213,4.485002
6,Python for Data Science and Machine Learning Bootcamp,141682,4.6113944
7,Complete Python Bootcamp For Everyone From Zero to Hero 2024,1054,4.498557
8,Learn Python Programming Masterclass,101954,4.6058173
9,Automate Everything with Python,1864,4.448477
10,Python PCEP: Become Certified Entry-Level Python Programmer,5650,4.6371093
11,Python 3: Fundamentals,1823,4.745508
12,The Complete Python Course | Learn Python by Doing in 2024,21248,4.5482206
13,Learn to Code with Python,5462,4.668138
14,Automate the Boring Stuff with Python Programming,112450,4.6345496
15,Python 3: Deep Dive (Part 1 - Functional),11192,4.845765
16,[NEW] Python Bootcamp: Master Python Programming in 2024,607,4.5917463
17,Python for beginners,24948,4.50546
18,The Modern Python 3 Bootcamp,29484,4.7010074
19,Python Complete Masterclass for Beginners,5110,4.267398
